2025-05-08 11:32:52,158 - INFO - Starting extraction for input_pdfs\ast_sci_data_tables_sample.pdf
2025-05-08 11:32:52,174 - INFO - Processing PDF: input_pdfs\ast_sci_data_tables_sample.pdf (2 pages)
2025-05-08 11:32:52,321 - INFO - Detected native PDF: input_pdfs\ast_sci_data_tables_sample.pdf
2025-05-08 11:32:52,411 - INFO - Saved table to output\ast_sci_data_tables_sample_table_native_p1_0.csv
2025-05-08 11:32:52,487 - INFO - Saved table to output\ast_sci_data_tables_sample_table_native_p2_0.csv
2025-05-08 11:32:52,495 - INFO - Saved table to output\ast_sci_data_tables_sample_table_native_p2_1.csv
2025-05-08 11:32:52,497 - INFO - Starting extraction for input_pdfs\Attendance Tracker Technical Documentation.pdf
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,579 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,586 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,586 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,586 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,586 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,586 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
