,Particulars,` ’000,` ’000
1.,Claims paid during the year,,
,Direct business,7005.00,
,Reinsurance,1050.00,8055.00
,Add : Surveyor’s fee,52.50,
,Legal expenses,67.50,120.00
,,,8175.00
,Less : Claims received from re-insurers,,345.00
,,,7830.00
2.,Claims outstanding on 31st March, 2014,,
,Direct business,1218.00,
,Reinsurance,79.50,1297.50
,Less : Claims receivable from re-insurers,,169.50
,,,1128.00
3.,Claims outstanding on 1st April, 2013,,
,Direct business,1144.50,
,Reinsurance,130.50,1275.00
,Less : Claims receivable from re-insurers,,98.00
,,,1177.50
