Date,Particulars,Machine – I
`,Machine – II
`,Total Depreciation
`
01.07.2008,Book Value,8,00,000,,
30.06.2009,Depreciation @ 20%,1,60,000,,1,60,000
01.07.2009,W.D.V.,6,40,000,,
01.01.2010,Bank (Purchase),,6,00,000,
30.06.2010,Depreciation @ 20%,1,28,000,60,000,1,88,000
01.07.2010,W.D.V.,5,12,000,5,40,000,
30.06.2011,Depreciation @ 20%,1,02,400,1,08,000,2,10,400
01.07.2011,W.D.V.,4,09,600,4,32,000,
30.06.2012,Depreciation @ 20%,81,920,86,400,1,68,320
01.07.2012,W.D.V.,3,27,680,3,45,600,
,,6,73,280,,7,26,720
