12,AS 7,Ind AS 11,Construction Contracts
13,AS 9,Ind AS 18,Revenue
14,AS 12,Ind AS 20,Accounting for Government Grants and Disclosure of
Government Assistance
15,AS 11,Ind AS 21,The Effects of Changes in Foreign Exchange Rates
,,,IV. Standards on Liabilities and Provisions
16,AS 15,Ind AS 19,Employee Benefits
17,AS 29,Ind AS 37,Provisions, Contingent Liabilities and Contingent Assets
18,Guidance Note,Ind AS 102,Share-based Payment
19,No Corresponding
Standard,Ind AS 104,Insurance Contracts
,,,V. Standards on Disclosures
20,AS 18,Ind AS 24,Related Party Disclosures
21,AS 20,Ind AS 33,Earnings Per Shares
22,AS 17,Ind AS 108,Operating Segments
,,,VI. Standards on Assets
23,AS 16,Ind AS 23,Borrowing Costs
24,AS 28,Ind AS 36,Impairments of Assets
25,AS 26,Ind AS 38,Intangible Assets
26,No Corresponding
Standard,Ind AS 40,Investment Property
27,AS 10 & AS 6,Ind AS 16,Property, Plant and Equipment
28,AS 19,Ind AS 17,Leases
29,AS 24,Ind AS 105,Non-Current Assets Held for Sale and Discontinued
Operations
30,Guidance Note,Ind AS 106,Exploration for and Evaluation of Mineral Resources
,,,VII. Standards on Taxes
31,AS 22,Ind AS 12,Income Taxes
,,,VIII. Standards on Financial Instruments
32,AS 31,Ind AS 32,Financial Instruments: Presentation
33,AS 30,Ind AS 39,Financial Instruments: Recognition and Measurement
34,AS 32,Ind AS 107,Financial Instruments: Disclosures
,,,IX. Standards on First Time Adoption
35,No Corresponding
Standard,Ind AS 101,First Time Adoption of Ind AS
