(e) Profit & Loss A/c Dr.,(e) Interest A/c Dr.,31,700,
To Interest A/c,To Profit & Loss A/c,,31,700
,,,
31.12.2014,,,
(a) Interest A/c Dr.,(d) A A/c Dr.,15,850,
To B A/c,To Interest A/c,,15,850
(b) B A/c Dr.,(b) Bank A/c Dr.,1,74,350,
To Bank A/c,To A A/c,,1,74,350
(c) Depreciation A/c Dr.,(c) No Entry,81,152,
To Machines A/c,,,81,152
(d) Profit & Loss A/c Dr.,(d) No Entry,81,152,
To Depreciation A/c,,,81,152
(e) Profit & Loss A/c Dr.,(e) Interest A/c Dr.,15,850,
To Interest A/c,To Profit & Loss A/c,,15,850
