Date,Due
Date,Particulars,Amount
(Dr.),Amount
(Cr.),Dr. or
Cr.,Balance,Days,Product
(Dr.),Product
(Cr.)
1.1.13,1-1-13,By Cash A/c,--,500,Cr.,500,9,--,4,500
10.1.13,10-1-13,By Cash A/c,--,1,000,Cr.,1,500,15,--,22,500
25.1.13,25-1-13,To Self,2,500,--,Dr.,1,000,8,8,000,--
2.2.13,2-2-13,By Cash A/c,--,3,000,Cr.,2,000,13,--,26,000
15.2.13,15-2-13,To Self,1,500,--,Cr.,500,12,--,6,000
27.2.13,27-2-13,By Cash A/c,--,6,000,Cr.,6,500,3,--,19,500
2.3.13,2-3-13,To self,3,000,--,Cr.,3,500,13,--,45,500
15.3.13,15-3-13,By Cash A/c,--,4,000,Cr.,7,500,10,--,75,000
25.3.13,25-3-13,To Self,2,000,--,Cr.,5,500,6,--,33,000
31.3.13,31-3-13,By Interest A/c*,--,60.50,,,,--,--
31.3.13,31-3-13,To balance c/d,5,560.50,--,,,,--,--
,,,14,560.50,14,560.50,,,,8,000,2,32,000
