Category of Advances,Rate (%)
Standardd Advances,
(a) Direct advances to agricultural and SME,0.25
(b) Advances to Commercial Real Estate (CRE) Sector,1.00
(c) All other loans,0.40
Sub-standard Advances,
Secured Exposures,15
Unsecured Exposures in respect of Infrastructure loan accounts where certain
safeguards such as escrow accounts are available.,20
Unsecured other loans,25
Doubtful Advances – Unsecured Portion,100
Doubtful Advances – Secured Portion,
For Doubtful upto 1 year,25
For Doubtful > 1 year and upto 3 years,40
For Doubtful > 3 years,100
