Model,BodQ,FIQA,Helaswag,WinoG.,AKRC-C,ARC-C,UDYUA,AVE,,,,,,
GPT4AII-J,6B,v1.0*,73.4,74.8,63.4,64.7,54.9,36,40.2,58.2,,,,
GPT4AII-J,v1.1-breezy*,74,75.1,63.2,63.6,55.4,34.9,38.4,57.8,,,,,
GPT4AII-J,v1.2-jazzy*,748,74.9,63.6,638,56.6,35.3,41,58.¢,,,,,
GPT4AII-J,v1.3-groovy*,73.6,74.3,63.8,63.5,57.7,35,38.8,58.1,,,,,
GPT4All-J,Lora,6B*,68.6,75.8,66.2,63.5,56.4,"35,7",40.2,58.1,,,,
GPT4All,LLaMa,Lora,7B*,13:1,77.6,721,67.8,SLL,40.4,40.2,60.3,,,
GPT4All,13B,snoozy*,83.3,79.2,75,713,60.9,44.2,43.4,65.3,,,,
GPT4AII,Falcon,77.6,79.8,74.9,70.1,67.9,43.4,42.6,65.2,,,,,
Nous-Hermes,"(Nous-Research,",2023b),79.5,78.9,80,71.9,74.2,50.9,46.4,68.8,,,,
Nous-Hermes2,"(Nous-Research,",2023c),83.9,80.7,80.1,71.3,75.7,52.1,46.2,70.0,,,,
Nous-Puffin,"(Nous-Research,",2023d),81.5,80.7,80.4,72.5,77.6,50.7,45.6,69.9,,,,
Dolly,6B*,(Conover,et,"al.,",2023a),68.8,77.3,67.6,63.9,—62.9,38.7,412,60.1,
Dolly,12B*,(Conover,et,"al.,",2023b),56.7,715.4,71,62.2,64.6,38.5,40.4,58.4,
Alpaca,7B*,(Taori,et,"al.,",2023),73.9,77.2,73.9,66.1,59.8,43.3,43.4,62.5,
Alpaca,Lora,7B*,"(Wang,",2023),743,79.3,74,68.8,56.6,43.9,42.6,62.8,,
GET,*,6.7B,(Wang,pe,"Komatsuzaki,",2021),65.4,76.2,66.2,64.1,62.2,36.6,38.2,58.4
LLama,7B*,(Touvron,et,"al.,",2023),73.1,774,73,66.9,az5,41.4,42.4,61.0,
LLama,13B*,(Touvron,et,"al.,",2023),68.5,79.1,76.2,70.1,60,44.6,42.2,63.0,
Pythia,6.7B*,(Biderman,et,"al.,",2023),63.5,76.3,64,61.1,61.3,35.2,37.2,56.9,
Pythia,12B*,(Biderman,et,"al.,",2023),67.7,716.6,67.3,63.8,63.9,34.8,38,58.9,
Fastchat,T5*,(Zheng,et,"al.,",2023),815,64.6,46.3,61.8,49.3,nk,Re!,39.4,"PCy,"
Fastchat,Vicufia*,7B,(Zheng,et,"al.,",2023),76.6,Afe;,70.7,67.3,53.5,41.2,40.8,61.0
Fastchat,Vicufia,13B*,(Zheng,et,"al.,",2023),81.5,76.8,se,66.7,57.4,42.7,43.6,63.1
Stable,Vicufia,RLHF*,"(Stability-Al,",2023),82.3,78.6,74.1,70.9,61,43.5,44.4,65.0,,
StableLM,Tuned*,"(Stability-AI,",2023),62.5,71.2,53.6,54.8,52.4,ack,33.4,51.3,,,
StableLM,Base*,"(Stability-Al,",2023),60.1,67.4,41.2,50.1,44.9,27,32,46.1,,,
Koala,13B*,(Geng,et,"al.,",2023),76.5,719,72.6,68.8,54.3,41,42.8,62.0,
Open,Assistant,Pythia,12B*,67.9,78,68.1,65,64.2,40.4,43.2,61.0,,,
Mosaic,MPT7B,"(MosaicML-Team,",2023),748,79.3,76.3,68.6,70,42.2,42.6,64.8,,,
Mosaic,mpt-instruct,"(MosaicML-Team,",2023),743,80.4,T1L2,67.8,122,44.6,43,65.6,,,
Mosaic,mpt-chat,"(MosaicML-Team,",2023),77.1,78.2,74.5,67.5,69.4,43.3,44.2,64.9,,,
Wizard,7B,(Xu,et,"al.,",2023),78.4,TA,69.9,66.5,56.8,40.5,42.6,"61,7",
Wizard,7B,Uncensored,(Xu,et,"al.,",2023),Tit,74.2,68,65.2,53.5,38.7,41.6,59.8
Wizard,13B,Uncensored,(Xu,et,"al,,",2023),78.4,75.5,721,69.5,57.5,40.4,44,62.5
GPT4-x-Vicuna-13b,"(Nous-Research,",2023a),813,75,73:2,65,58.7,43.9,43.6,"63,2",,,,
Falcon,7b,(Almazrouei,et,"al.,",2023),73.6,80.7,763,67.3,71,43.3,44.4,"65,2",
Falcon,7b,instruct,(Almazrouei,et,"al.,",2023),70.9,78.6,69.8,66.7,67.9,42.7,41.2,62.5
zeta,man,ant,hi,TOSS,A,ON,CSc,st,RI,SO,,,,
text-davinci-003,88.1,83.8,83.4,75.8,83.9,63.9,51.0,75.7,,,,,,
